PANSTWO;MIASTO;RZECZ;ROSLINA;ZWIERZE;
albania;amsterdam;aparat;aksamitka;antylopa
algieria;ateny;akumulator;aloes;aksolotl
andora;agadir;autko;agawa;aligator
belgia;berlin;but;bananowiec;bóbr
białoruś;barcelona;brelok;bratek;biedronka
brazylia;bukareszt;baner;borówka;bawół
chorwacja;częstochowa;czapka;chaber;cielak
czarnogóra;charków;czajnik;cyprys;czapla
czechy;caen;cegła;czosnek;cracow
dania;dublin;długopis;dalia;dżdżownica
dominikana;drezno;doniczka;dzika róża;delfin
dżibuti;durango;deska;drzewo;dziki
ekwador;eindhoven;ekran;eukaliptus;endywi
egipt;edynburg;emaliownik;edera;eland
estonia;ełk;elektryczność;estragon;erminek
finlandia;flensburg;fotel;fikus;foka
francja;frankfurt;folia;fiołek;feniks
fidżi;fresno;flet;firletka;fretka
grecja;gdansk;grzebień;goździk;góral
ghana;gdynia;gumka;gerbera;gorączka
gambia;genewa;garnitur;grusza;gepard
honduras;helsinki;hak;hortensja;hipopotam
holandia;houston;helikopter;hemp;hiena
haiti;haifa;harmonijka;hibiskus;hedgehog
indie;innsbruck;igła;iglak;iguana
irlandia;izrael;imadło;irys;indyk
islandia;imperia;internet;ilex;indyk
japonia;jelenia góra;jabłko;jaśmin;jeż
jamajka;jowisz;jantar;jukon;jaskółka
jordania;jasło;jaskinia;jagoda;jarząb
kazachstan;kraków;kołdra;kaktus;koala
kenia;kielce;kamera;klon;kangur
korea południowa;katowice;kubek;kocanka;krokodyl
liban;londyn;lampa;lilia;lisk
lituania;lublin;lustro;lawnica;lampart
lesotho;lódz;laptop;liatra;leniwiec
madagaskar;malaga;mikrofon;maksymilian;myszojeleń
meksyk;minsk;mopa;malwa;mewa
maroko;malbork;magnes;mak;mamut
niemcy;nowy jork;nóż;nagietek;nosorożec
niger;nowy sącz;narty;narcis;niedźwiedź
norwegia;niemodlin;naklejka;nisza;norka
nowa zelandia;norymberga;nerka;nawłoć;niedźwiedź
niger;nowy tomyśl;neon;nekrolog;nandu
oman;olsztyn;ołówek;orzech;ostrich
orzech;opole;ozon;oregano;okapi
obuwnik;ostre;okno;ognik;ostrz
portugalia;paryż;wazon;wrzos;wielbłąd
polska;pekin;pióro;pęd;pies
peru;poznań;pojemnik;pomidory;perełka
rumunia;ryzm;rama;róża;rys
rosja;rzeszów;rurka;rododendron;rekin
republika południowej afryki;rybnik;rękawice;rzepak;rój
szwecja;sopot;skrzynka;skrzypce;słoń
syria;szczecin;szczotka;szałwia;szakal
samoa;siedlce;siatka;sosna;słowik
tajlandia;toruń;talerz;truskawka;tygrys
togo;tarnów;teczka;trawa;turtle
tanzania;tbilisi;telefon;tymianek;tukany
uganda;ustroń;ubranie;ulica;uchatka
ukraina;ułęż;ucho;ustka;ursus
urugwaj;uznam;ul;ulan;ukraina
wenezuela;warszawa;wazon;wrzos;wielbłąd
wietnam;wrocław;wózek;wierzb;wilk
włochy;wieluń;wieszaki;wrzosy;wydra
zambia;zielona góra;zegar;zimowit;zebra
zimbabwe;zabrze;zamek;ziołka;zając
zjednoczone emiraty arabskie;zamość;zabawka;zimowit;złota rybka
życie;żary;żakiet;żarnowiec;żółw
